NAME,BRAND,UOM,CATEGORY,SUB CATEGORY,TAX CODE,QTY SOLD,NO. OF BILLS,TAXABLE AMOUNT,REVENUE,MRP,SP/WP/SPLP/OP,CP
Timbaktu Organic Brinjal Pickle -375g,Timbaktu,1 grm,Miscellaneous,Miscellaneous,12,1,1,178.57,200,200,200,200
Andu Korra Ravva 500g,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Siri Dhanyalu Ravva,5,10,6,1428.57,1500,150,150,120
Cinnamon (Dalchina Chekka) - 50g,Prakruthivanam,1 grm,Miscellaneous,Miscellaneous,5,196,159,7466.67,7840,40,40,30
Timbktu Organic Bittergourd Pickle -250g,Timbaktu,1 grm,Miscellaneous,Miscellaneous,12,6,6,1339.29,1500,250,250,250
Arika Rawa 500gms Pvs,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Siri Dhanyalu Ravva,5,520,400,52000,54600,105,105,89.25
Kaccha Ama,Go Desi,1 box,Miscellaneous,Miscellaneous,5,5386,1157,25647.62,26930,5,5,200
Korra Rava - 500 Gms - Pvs,Prakruthivanam,1 pc,ORGANIC PRODUCTS,Siri Dhanyalu Ravva,5,721,519,54933.33,57680,80,80,61.95
Timbaktu Organic Korra Pongal Mix 250g,Timbaktu,1 kg,Miscellaneous,Miscellaneous,5,77,64,4033.33,4235,55,55,41.25
Nalla Karam (Guntur Karam) 100g,Prakruthivanam,1 kg,Miscellaneous,Miscellaneous,5,292,246,16685.71,17520,60,60,42
Sabja Seeds 100g,Prakruthivanam,1 grm,Masala & Spices,Spices,5,242,181,13828.57,14520,60,60,42
